date,amount,category,merchant,account,type
2024-03-16,1000,groceries,Reliance Mart,card,debit
2024-03-17,800,transport,Ola,upi,debit
2024-03-18,2000,food,Swiggy,card,debit
2024-03-19,9000,shopping,Amazon,card,debit
2024-03-20,400,entertainment,Spotify,card,debit
2024-03-21,1300,groceries,Big Bazaar,card,debit
2024-03-22,700,transport,Uber,upi,debit
2024-03-23,1600,food,Zomato,card,debit
2024-03-24,4500,shopping,Flipkart,card,debit
2024-03-25,1100,groceries,Reliance Mart,card,debit
2024-03-26,900,transport,Ola,upi,debit
2024-03-27,1900,food,Swiggy,card,debit
2024-03-28,10000,shopping,Amazon,card,debit
2024-03-29,300,entertainment,Netflix,card,debit
2024-03-30,2000,rent,Landlord,bank,debit
2024-04-01,50000,salary,Company,bank,credit
2024-04-02,1500,groceries,Big Bazaar,card,debit
2024-04-03,800,transport,Uber,upi,debit
2024-04-04,1700,food,Zomato,card,debit
2024-04-05,2500,shopping,Amazon,card,debit
2024-04-06,300,entertainment,Netflix,card,debit
2024-04-07,1200,groceries,Reliance Mart,card,debit
2024-04-08,900,transport,Ola,upi,debit
2024-04-09,1400,food,Swiggy,card,debit
2024-04-10,1600,utilities,Electricity,bank,debit
2024-04-11,1100,groceries,Big Bazaar,card,debit
2024-04-12,2200,shopping,Flipkart,card,debit
2024-04-13,600,transport,Uber,upi,debit
2024-04-14,1800,food,Zomato,card,debit
2024-04-15,2700,shopping,Amazon,card,debit
2024-04-16,1000,groceries,Reliance Mart,card,debit
2024-04-17,800,transport,Ola,upi,debit
2024-04-18,1900,food,Swiggy,card,debit
2024-04-19,3200,shopping,Amazon,card,debit
2024-04-20,400,entertainment,Spotify,card,debit
2024-04-21,1300,groceries,Big Bazaar,card,debit
2024-04-22,700,transport,Uber,upi,debit
2024-04-23,1500,food,Zomato,card,debit
2024-04-24,4000,shopping,Flipkart,card,debit
2024-04-25,1100,groceries,Reliance Mart,card,debit
2024-04-26,900,transport,Ola,upi,debit
2024-04-27,1700,food,Swiggy,card,debit
2024-04-28,5500,shopping,Amazon,card,debit
2024-04-29,300,entertainment,Netflix,card,debit
2024-04-30,2000,rent,Landlord,bank,debit
2024-05-01,50000,salary,Company,bank,credit
2024-05-02,1600,groceries,Big Bazaar,card,debit
2024-05-03,900,transport,Uber,upi,debit
2024-05-04,1800,food,Zomato,card,debit
2024-05-05,3000,shopping,Amazon,card,debit
2024-05-06,300,entertainment,Netflix,card,debit
2024-05-07,1300,groceries,Reliance Mart,card,debit
2024-05-08,900,transport,Ola,upi,debit
2024-05-09,1500,food,Swiggy,card,debit
2024-05-10,1700,utilities,Electricity,bank,debit
2024-05-11,1200,groceries,Big Bazaar,card,debit
2024-05-12,2500,shopping,Flipkart,card,debit
2024-05-13,700,transport,Uber,upi,debit
2024-05-14,2000,food,Zomato,card,debit
2024-05-15,3200,shopping,Amazon,card,debit
2024-05-16,1100,groceries,Reliance Mart,card,debit
2024-05-17,800,transport,Ola,upi,debit
2024-05-18,1900,food,Swiggy,card,debit
2024-05-19,3500,shopping,Amazon,card,debit
2024-05-20,400,entertainment,Spotify,card,debit
2024-05-21,1400,groceries,Big Bazaar,card,debit
2024-05-22,700,transport,Uber,upi,debit
2024-05-23,1600,food,Zomato,card,debit
2024-05-24,4200,shopping,Flipkart,card,debit
2024-05-25,1200,groceries,Reliance Mart,card,debit
2024-05-26,900,transport,Ola,upi,debit
2024-05-27,1800,food,Swiggy,card,debit
2024-05-28,6000,shopping,Amazon,card,debit
2024-05-29,300,entertainment,Netflix,card,debit
2024-05-30,2000,rent,Landlord,bank,debit
2024-06-01,50000,salary,Company,bank,credit
2024-06-02,1500,groceries,Big Bazaar,card,debit
2024-06-03,800,transport,Uber,upi,debit
2024-06-04,1700,food,Zomato,card,debit
2024-06-05,2800,shopping,Amazon,card,debit
2024-06-06,300,entertainment,Netflix,card,debit
2024-06-07,1200,groceries,Reliance Mart,card,debit
2024-06-08,900,transport,Ola,upi,debit
2024-06-09,1400,food,Swiggy,card,debit
2024-06-10,1600,utilities,Electricity,bank,debit
2024-06-11,1100,groceries,Big Bazaar,card,debit
2024-06-12,2400,shopping,Flipkart,card,debit
2024-06-13,700,transport,Uber,upi,debit
2024-06-14,1900,food,Zomato,card,debit
2024-06-15,3000,shopping,Amazon,card,debit
2024-06-16,1000,groceries,Reliance Mart,card,debit
2024-06-17,800,transport,Ola,upi,debit
2024-06-18,1800,food,Swiggy,card,debit
2024-06-19,3200,shopping,Amazon,card,debit
2024-06-20,400,entertainment,Spotify,card,debit
2024-06-21,1300,groceries,Big Bazaar,card,debit
2024-06-22,700,transport,Uber,upi,debit
2024-06-23,1500,food,Zomato,card,debit
2024-06-24,4000,shopping,Flipkart,card,debit
2024-06-25,1100,groceries,Reliance Mart,card,debit
2024-06-26,900,transport,Ola,upi,debit
2024-06-27,1700,food,Swiggy,card,debit
2024-06-28,6500,shopping,Amazon,card,debit
2024-06-29,300,entertainment,Netflix,card,debit
2024-06-30,2000,rent,Landlord,bank,debit
2024-07-01,50000,salary,Company,bank,credit
2024-07-02,1600,groceries,Big Bazaar,card,debit
2024-07-03,900,transport,Uber,upi,debit
2024-07-04,1800,food,Zomato,card,debit
2024-07-05,3200,shopping,Amazon,card,debit
2024-07-06,300,entertainment,Netflix,card,debit
2024-07-07,1300,groceries,Reliance Mart,card,debit
2024-07-08,900,transport,Ola,upi,debit
2024-07-09,1500,food,Swiggy,card,debit
2024-07-10,1700,utilities,Electricity,bank,debit
2024-07-11,1200,groceries,Big Bazaar,card,debit
2024-07-12,2500,shopping,Flipkart,card,debit
2024-07-13,700,transport,Uber,upi,debit
2024-07-14,2000,food,Zomato,card,debit
2024-07-15,8500,shopping,Amazon,card,debit
2024-07-16,1100,groceries,Reliance Mart,card,debit
2024-07-17,800,transport,Ola,upi,debit
2024-07-18,1900,food,Swiggy,card,debit
2024-07-19,12000,shopping,Amazon,card,debit
2024-07-20,2000,rent,Landlord,bank,debit
